root_label,label,metric,system,p_raw,p_holm,median_diff
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_snic_multi,0.0009765625,0.0166015625,-233.10889050387598
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_transition_routes_4,0.0009765625,0.0166015625,-228.84111245465542
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_var_depth_gradient_4,0.0009765625,0.0166015625,-225.28548895899053
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_var_diamond_4,0.0009765625,0.0166015625,-226.4821791112114
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,claude_var_l_shape_5,0.0009765625,0.0166015625,-227.9156976744186
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,gated_local_linear,0.0009765625,0.0166015625,-229.58636143410854
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,gated_transfer_linear,0.0009765625,0.0166015625,-227.2422480620155
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,MeanSupportSize,multiwell_strong_transition,0.0009765625,0.0166015625,-225.31334786821705
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_arrested_spiral,0.001953125,0.0166015625,-154.03997093023258
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_cal_asymmetric_3,0.001953125,0.0166015625,-158.9983042635659
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_cal_hexagon_6,0.001953125,0.0166015625,-143.4419956405909
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_cal_high_cross_3,0.0009765625,0.0166015625,-134.5106589147287
