root_label,label,horizon,system,p_raw_t,p_holm_t,p_raw_w,p_holm_w,mean_diff_log10,median_diff_log10,hl_diff_log10,lo_log10,hi_log10,n_seeds
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_cal_high_cross_3,6.411749613948034e-08,8.976449459527247e-07,0.0009765625,0.0166015625,-1.1444640247694609,-1.1895648818601248,-1.160614717624139,-1.3278726575096074,-0.9696091442548512,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_cal_octagon_8,1.037069022034894e-08,1.555603533052341e-07,0.0009765625,0.0166015625,-1.8873089701812291,-1.7807361187743944,-1.762809548018296,-2.0245029799260106,-1.662030226659967,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_cal_pentagon_5,0.0001488442140805487,0.0005953768563221948,0.0009765625,0.0166015625,-0.945384505116132,-0.8399216890913483,-0.849144874417668,-1.3063147472602972,-0.6032692454002276,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_cal_square_4,1.1592923262151237e-06,1.1592923262151237e-05,0.0009765625,0.0166015625,-1.0897909493144162,-1.0413242409898962,-1.0957672763106767,-1.3747091669868592,-0.7996637871477678,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_checkerboard_potential,0.1572734955836266,0.3145469911672532,0.0654296875,0.130859375,-0.7482671479998373,-1.2796263876864655,-1.0964217357026786,-2.061130090717947,-0.03321509416691623,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_duffing_triple_well,7.543277500421561e-05,0.0003966442625036382,0.0009765625,0.0166015625,-0.6011042200162136,-0.6620525933148353,-0.6509083911288877,-0.8654561430867491,-0.28151933814343044,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_snic_multi,4.027243037685448e-11,6.443588860296717e-10,0.0009765625,0.0166015625,-1.6190282975510755,-1.6747882594945103,-1.6303308558169145,-1.742144310989086,-1.4416405725448085,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_transition_routes_4,3.303171855313046e-07,4.29412341190696e-06,0.0009765625,0.0166015625,-2.2038488465604384,-2.418159790826472,-2.3675835263531404,-2.6240835176392925,-1.72730849130259,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_var_depth_gradient_4,5.901359278755973e-05,0.0003966442625036382,0.0009765625,0.0166015625,-0.9248177504329668,-1.0528008126011028,-1.032917846179516,-1.2674818937005048,-0.5095569679604586,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_var_diamond_4,2.3038156659540728e-06,2.0734340993586654e-05,0.0009765625,0.0166015625,-1.7056135069199798,-1.4443742358135485,-1.5076223841757752,-2.2495019276170947,-1.3206025436261564,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,claude_var_l_shape_5,3.971098700905756e-07,4.7653184410869075e-06,0.0009765625,0.0166015625,-1.7189923268642775,-1.5051040596524943,-1.5822551065806925,-2.151813900135059,-1.4108448792355182,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,gated_local_linear,6.370560115774532e-12,1.0829952196816705e-10,0.0009765625,0.0166015625,-2.0972545758965717,-2.094055161672811,-2.09401321492835,-2.2721441635976114,-1.968387779228377,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,gated_transfer_linear,4.793204933330715e-05,0.0003834563946664572,0.0009765625,0.0166015625,-0.28291400233376457,-0.29300876695202177,-0.26500531457278903,-0.3380659528600589,-0.2134561561519606,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,100,multiwell_strong_transition,0.9840889669388869,0.9840889669388869,0.990234375,0.990234375,1.5197419042417786,2.2454481492687415,2.3501075603069737,-0.5720534732260103,2.6581151469697035,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_arrested_spiral,0.7917635406707351,1.0,0.28515625,0.6474609375,3.0316613457636503,-1.781122919904314,-1.7656936663924323,-2.9616470964155353,-1.2927305032344893,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_cal_asymmetric_3,0.00010793177168747558,0.0006972627397725083,0.001953125,0.0166015625,-1.9242296953777094,-1.5263118223692371,-1.645772969664487,-3.208048548843179,-1.2764362734772967,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_cal_hexagon_6,3.564409726073955e-07,4.990173616503537e-06,0.001953125,0.0166015625,-2.131939068749376,-2.030319766201827,-2.024037401239584,-2.164571701968276,-1.8271103110841056,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_cal_high_cross_3,2.237420541035161e-06,2.6849046492421932e-05,0.0009765625,0.0166015625,-1.1402285896070743,-1.2519687673564204,-1.2454510806319146,-1.4099057170753018,-0.9593993421755306,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_cal_octagon_8,1.8104025807627253e-07,2.715603871144088e-06,0.0009765625,0.0166015625,-2.008950897818557,-1.8487807945671242,-1.8435331181330596,-2.1240520017224087,-1.7201912801406882,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_cal_pentagon_5,9.960896282464404e-05,0.0006972627397725083,0.0009765625,0.0166015625,-1.2687055203223827,-1.2349679893397068,-1.2607554252876418,-2.0357077948169997,-0.6745550703394405,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_cal_square_4,2.3221514424834193e-06,2.6849046492421932e-05,0.0009765625,0.0166015625,-1.3247890676154004,-1.242112438653579,-1.35826022346865,-1.7414298370642673,-0.9385198027522758,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_checkerboard_potential,0.660388129121884,1.0,0.2158203125,0.6474609375,1.1531105118386609,-1.7665553144003134,-2.1375529232885553,-3.110308373255376,2.443560342869413,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_duffing_triple_well,3.1889757256952673e-06,3.188975725695267e-05,0.0009765625,0.0166015625,-0.8284971210727414,-0.7275065157173672,-0.8437917185280108,-1.0663738895500048,-0.635849237321815,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_snic_multi,1.0982017593337484e-09,1.7571228149339974e-08,0.0009765625,0.0166015625,-1.8681860293158838,-1.8845009665164212,-1.8930022775145572,-2.086498522848542,-1.6850712751136514,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_transition_routes_4,8.683030344609568e-06,7.814727310148611e-05,0.0009765625,0.0166015625,-2.11387096312088,-1.932673361813505,-1.9368093805108837,-3.019256798228153,-1.5283500633226912,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_var_depth_gradient_4,0.0003977500129765691,0.0019887500648828453,0.0009765625,0.0166015625,-1.0476288574094998,-1.0372221801843418,-1.0187169061632269,-1.6936596804416593,-0.44859761193815473,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_var_diamond_4,4.672112222569332e-05,0.00037376897780554656,0.0009765625,0.0166015625,-1.258978841836885,-1.407375495515863,-1.3935586452749822,-1.7618116699021453,-0.634631782404414,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,claude_var_l_shape_5,8.681554562413007e-07,1.128602093113691e-05,0.0009765625,0.0166015625,-2.2122150571022767,-2.0540345350150906,-2.0933589615132595,-2.7674144915175214,-1.7541677784738428,10
